"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
Mongolia,5,+1,,,,5,,1.5
Puerto Rico,5,,,,,5,,1.7
Trinidad and Tobago,5,+1,,,,5,,3.6
Ivory Coast,4,,,,,4,,0.2
Kenya,4,+1,,,,4,,0.1
Seychelles,4,+1,,,,4,,
Nigeria,3,+1,,,1.0,2,,
Aruba,3,+1,,,,3,,
Curaçao,3,+1,,,,3,,
DRC,3,,,,,3,,
French Polynesia,3,,,,,3,,
Gibraltar,3,,,,2.0,1,,
St. Barth,3,,,,,3,,
Barbados,2,+2,,,,2,,
Liberia,2,+1,,,,2,,0.4
Montenegro,2,+2,,,,2,,
Namibia,2,,,,,2,,0.8
Saint Lucia,2,,,,,2,,
Saint Martin,2,,,,,2,,
U.S. Virgin Islands,2,+1,,,,2,,
Cayman Islands,1,,1.0,,,0,,
Sudan,1,,1.0,,,0,,
Nepal,1,,,,1.0,0,,
Antigua and Barbuda,1,,,,,1,,
Bahamas,1,,,,,1,,
Benin,1,,,,,1,,0.1
Bhutan,1,,,,,1,,
CAR,1,,,,,1,,0.2
Congo,1,,,,,1,,0.2
Equatorial Guinea,1,,,,,1,,0.7
Gabon,1,,,,,1,,0.4
Gambia,1,+1,,,,1,,0.4
Greenland,1,,,,,1,,
Guinea,1,,,,,1,,0.1
Vatican City,1,,,,,1,,
Mauritania,1,,,,,1,,0.2
Mayotte,1,,,,,1,,
St. Vincent Grenadines,1,,,,,1,,
Somalia,1,,,,,1,,0.1
Suriname,1,,,,,1,,
Eswatini,1,,,,,1,,0.9
Tanzania,1,,,,,1,,
Togo,1,,,,,1,,0.1
Total:,198092,15619,7961.0,799,81727.0,108404,7020.0,25.4
